ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
200,Number of islands,58.20%,Medium,0.6151859433979923,https://leetcode.com/problems/number-of-islands/description/
11,Container With Most Water,50.80%,Medium,1.6698043309352744, https://leetcode.com/problems/container-with-most-water
2040,Kth smallest product of 2 sorted arrays,28.50%,Hard,0.9069260034167047,https://leetcode.com/problems/kth-smallest-product-of-two-sorted-arrays/description/
54,Spiral Matrix,34.10%,Medium,0.8157754428882927, https://leetcode.com/problems/spiral-matrix
215,Kth Largest Element in an Array,66.90%,Medium,0.7255512449571563,https://leetcode.com/problems/kth-largest-element-in-an-array/solutions/1001402/min-heap-raw-implementation/
994,Rotting Oranges,53.90%,Medium,3.4809121561494401,https://leetcode.com/problems/rotting-oranges/description/
206,Reverse Linked List,62.50%,Easy,3.4406213968443891, https://leetcode.com/problems/reverse-linked-list
146,LRU Cache,41.90%,Medium,5.3494648808375951,https://leetcode.com/problems/lru-cache/description/
435,Non-overlapping intervals,52.60%,Medium,2.0601644790079163,https://leetcode.com/problems/non-overlapping-intervals/description/
176,Second Highest Salary,39.40%,medium,2.0438465040400020,https://leetcode.com/problems/second-highest-salary/description/
98,Validate Binary Search Tree,32.60%,Medium,4.6947755686193080,https://leetcode.com/problems/validate-binary-search-tree/description/
1785,Minimum element,43.10%,Medium,1.5322474767649492,https://leetcode.com/problems/minimum-elements-to-add-to-form-a-given-sum/description/
694,Number of Distinct Islands,56.00%,Medium,3.5179902734051360, https://leetcode.com/problems/number-of-distinct-islands
103,Binary Tree Zigzag Level Order Traversal,48.30%,Medium,5.0934977259256371, https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
733,Flood Fill,55.30%,Easy,3.5667744421888736, https://leetcode.com/problems/flood-fill
25,Reverse Nodes in k-Group,42.10%,Hard,0.8762193453511131, https://leetcode.com/problems/reverse-nodes-in-k-group
102,Level Order Traversal,66.30%,Medium,2.5674036120233295,https://leetcode.com/problems/binary-tree-level-order-traversal/description/
1326,Minimum number of taps,51.30%,Medium,1.0197932442862840,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden/description/
490,The Maze,51.40%,Medium,3.5551904786206530, https://leetcode.com/problems/the-maze
99,Right side view,62.50%,Medium,0.8928527048060093,https://leetcode.com/problems/binary-tree-right-side-view/description/
NULL,Fractional Knapsack,79.90%,Easy,4.4976070911637231,https://www.codingninjas.com/studio/problems/fractional-knapsack_975286?interviewBundleRedirection=true
2193,Minimum number of moves to make palindrome,51.00%,Medium,3.9736906545014126,https://leetcode.com/problems/minimum-number-of-moves-to-make-palindrome/description/
